ID,Event,Country,Latitude,Longitude,USGS Event ID,Year,Month,Day,Time of Day (Universal Time Code),Mw,Earthquake Information Source,Fault Type,Depth (km),Ms,Ms Source,Other Magnitude,Other Magnitude Type,Other Magnitude Source,USGS ShakeMap Availability,Inventory,Inventory Source,Total Fatalities,Total Fatalities Source,Total Injuries,Total Injuries Source,Landslide Fatalities,Landslide Fatalities Source,Missing People (Landslide),Missing People Source,Area Affected (km^2),Area Affected Source,Number of Landslides (Primary),Number of Landslides (Primary) Source,Number of Landslides (Secondary),Number of Landslides (Secondary) Source,Number of Landslides (Additional Values and Sources),mLS (Primary),Rodriguez #LS,Keefer # LS,Area of Landslides (km^2),Area of Landslides Source,Volume of Landslides (km^3),Volume of Landslides Source,Max Epicentral Distance (km),Max Distance from Fault-Rupture Zone to Landslides (km),Max Epicentral Distance and Distance from Fault-Rupture Zone Source,Notes
,"Hough, S.E. (2004). Finding fault in California: an earthquake tourist's guide. Mountain Press Publishing. p. 185. ISBN 978-0-87842-495-5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hung, J. (2000) Chi-Chi Earthquake Induced Landslides in Taiwan. Earthquake Engineering and Engineering Seismology. Vol 2, Number 2 pp. 25-33 http://www.ctsee.org.tw/pdf/ee0202/ee0202-3.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Jibson, R. W. (2020). Types and Areal Distribution of Ground Failure Associated with the 2019 Ridgecrest, California, Earthquake Sequence. Bulletin of the Seismological Society of America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Jibson, R. W., Allstadt, K. E., Rengers, F. K., & Godt, J. W. (2018). Overview of the geologic effects of the November 14, 2016, Mw 7.8 Kaikoura, New Zealand, earthquake (No. 2017-5146). US Geological Survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Harp, E. L., & Jibson, R. W. (1996). Landslides triggered by the 1994 Northridge, California, earthquake. Bulletin of the Seismological Society of America, 86(1B), S319-S332.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Jibson, R. W., & Keefer, D. K. (1989). Statistical analysis of factors affecting landslide distribution in the New Madrid seismic zone, Tennessee and Kentucky. Engineering Geology, 27(1-4), 509-542.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Johnston, A. C. (1996). Seismic moment assessment of earthquakes in stable continental regions—III. New Madrid 1811–1812, Charleston 1886 and Lisbon 1755. Geophysical Journal International, 126(2), 314-344.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kamp, U., Growley, B. J., Khattak, G. A., & Owen, L. A. (2008). GIS-based landslide susceptibility mapping for the 2005 Kashmir earthquake region. Geomorphology, 101(4), 631-642.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Keefer, D. K. (1994). The importance of earthquake-induced landslides to long-term slope erosion and slope-failure hazards in seismically active regions. Geomorphology, 10(1), 265-284.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Keefer, D. K. (2000). Statistical analysis of an earthquake-induced landslide distribution—the 1989 Loma Prieta, California event. Engineering geology, 58(3-4), 231-249.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Knoper, L., Allstadt, K.E., Clark, M.K., Thompson, E.M., and Schmitt, R.G., 2020, Inventory of landslides triggered by the 2020 Puerto Rico earthquake sequence: U.S. Geological Survey data release, https://doi.org/10.5066/P9U0IXLP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Martinez-Diaz, J. J., Bejar-Pizarro, M., Alvarez-Gomez, J. A., de Lis Mancilla, F., Stich, D., Herrera, G., & Morales, J. (2012). Tectonic and seismic implications of an intersegment rupture: The damaging May 11th 2011 Mw 5.2 Lorca, Spain, earthquake. Tectonophysics, 546, 28-37.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Martino, S., Antonielli, B., Bozzano, F., Caprari, P., Discenza, M. E., Esposito, C., ... & Schiliro, L. (2020). Landslides triggered after the 16 August 2018 M w 5.1 Molise earthquake (Italy) by a combination of intense rainfalls and seismic shaking. Landslides, 1-14.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Martino, S. Bozzano, F., Caporossi, P., D' Angio, D., Della Seta, M., Esposito, C., Fantini, A., Fiorucci, M., Giannini, L.M., Iannucci, R., Marmoni, G.M., Mazzanti, P., Missori, C., Moretto, S., Rivellino, S., Romeo, R.W., Sarandrea, P., Schiliro, L., Troiani, F., Varone, C. 2017. Ground Effects triggered by the 24th August 2016, Mw 6.0 Amatrice (Italy) earthquake: Surveys and inventorying to update the CEDIT catalogue. Geografia Fisica e Dinamica Quaternaria, 40, 1, 77-95.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mavroulis, S., Triantafyllou, I., Karavias, A., Gogou, M., Katsetsiadou, K., Lekkas, E., Papadopoulos, G. A., & Parcharidis, I. (2020). Primary and Secondary Environmental Effects Triggered by the 30 October 2020, Mw = 7.0, Samos (Eastern Aegean Sea, Greece) Earthquake Based on Post-Event Field Surveys and InSAR Analysis. Appl. Sci. 2021, 11, 3281. https://doi.org/10.3390/app11073281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Montero W (1999) El terremoto de 1924 (Ms 7, 0): Un gran temblor intraplaca relacionado al límite incipiente entre la placa Caribe y la microplaca de Panamá? Rev Geol Am Central 22:25–62 (In Spanish with English abstract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Montero W, Soto GJ, Alvarado GE, Rojas W (2010) Division del deslizamiento tectónico y transtensión en el macizo del volcán Poas (Costa Rica), Basado en Estudios Neotectónicos y de sismicidad histórica. Rev Geol Am Central 43:13–36 (In Spanish with English abstract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Montgomery, J., Candia, G., Lemnitzer, A., & Martinez, A. (2020). The September 19, 2017 Mw 7.1 Puebla-Mexico City earthquake: Observed rockfall and landslide activity. Soil Dynamics and Earthquake Engineering, 130, 105972.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Marzorati, S., Luzi, L., & De Amicis, M. (2002). Rock falls induced by earthquakes: a statistical approach. Soil Dynamics and Earthquake Engineering, 22(7), 565-577.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mora S, Mora R (1994) Los Deslizamientos por el Terremoto de Limón: Factores de Control y com- paración con otros eventos en Costa Rica, Rev Geol Am Central, Special Issue, Terremoto de Limón, pp 139–152 (In Spanish with English abstract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Moroi, T., & Takemura, M. (2004). Mortality estimation by causes of death due to the 1923 Kanto Earthquake. Journal of Japan Association for Earthquake Engineering, 4(4), 21-45.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Morton, D. M. (1971). Seismically triggered landslides in the area above the San Fernando Valley. US Geological Survey Professional Paper, 733, 99-104.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Pearce, A. J., & O'Loughlin, C. L. (1985). Landsliding during a M 7.7 earthquake: influence of geology and topography. Geology, 13(12), 855-858.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Pearce, A. J., & Watson, A. J. (1986). Effects of earthquake-induced landslides on sediment budget and transport over a 50-yr period. Geology, 14(1), 52-55.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Peraldo G, Montero W (1994) Los temblores del periodo colonial de Costa Rica. Tecnológica de Costa Rica, Cartago, 162 p (In Spanish)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Petley, D., Dunning,S., Rosser, N. and Kausar, A.(2006). Incipient Landslides in the Jhelum Valley, Pakistan Following the 8th October 2005 Earthquake. Disaster Mitigation of Debris Flows, Slope Failures and Landslides, Universal Academy Press.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Plafker, G., Ericksen, G. E., & Fernandez Concha, J. (1971). Geological aspects of the May 31, 1970, Peru earthquake. Bulletin of the Seismological Society of America, 61(3), 543-578.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rantucci, G. (1995). Geological Disasters in the Philippines: The July 1990 Earthquake and the June 1991 Eruption of Mount Pinatubo; description, effects and lesson learnt. Quaderni di vita italiana, no.5. Dipartimento Per L'Informazione e L'Editoria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Olson, R. A., Mattingly, S., Scawthorn, C., Pantelic, J., Mileti, D., Fitzpatrick, C., ... & Andrews, R. (1990). Socioeconomic impacts and emergency response. Earthquake Spectra, 6(S1), 393-431.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rodr?guez, C. E., Bommer, J. J., & Chandler, R. J. (1999). Earthquake-induced landslides: 1980–1997. Soil Dynamics and Earthquake Engineering, 18(5), 325-346.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sassa, K. (2005). Landslide disasters triggered by the 2004 Mid-Niigata Prefecture earthquake in Japan. Landslides, 2(2), 135-142.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sepúlveda, S. A., Serey, A., Lara, M., Pavez, A., & Rebolledo, S. (2010). Landslides induced by the April 2007 Aysén fjord earthquake, Chilean Patagonia. Landslides, 7(4), 483-492.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Steinbrugge and Schader in NOAA (1973) San Fernando, California, Earthquake of February 9, 1971. L.M. Murphy, editor. Vol. 1, Part B: Effect on Buildings; U.S. Dept. of Commerce, Washington.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Suter et al (1996).  Macroseismic study of shallow earthquakes in the central and eastern parts of the trans-Mexico volcanic belt, Mexico, BSSA, 86(6), 1952-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tanyas, H., Van Westen, C. J., Allstadt, K. E., Anna Nowicki Jessee, M., Görüm, T., Jibson, R. W., ... & Hovius, N. (2017). Presentation and analysis of a worldwide database of earthquake?induced landslide inventories. Journal of Geophysical Research: Earth Surface, 122(10), 1991-2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tommasi, P., Di Giulio, A., Santo, A., Forte, G., De Falco, M., Verrucci, L., ... & Franke, K. W. (2019). Effects of the Central Italy 2016 seismic sequence on slope stability: Preliminary analysis of some major rock slides.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tondi, E., Blumetti, A.M., ?i?ak, M. et al. ‘Conjugate’ coseismic surface faulting related with the 29 December 2020, Mw 6.4, Petrinja earthquake (Sisak-Moslavina, Croatia). Sci Rep 11, 9150 (2021). https://doi.org/10.1038/s41598-021-88378-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Union, C. G. (2009). The Next Generation of Research on Earthquake-induced Landslides: An International Conference in Commemoration of 10th Anniversary of the Chi-Chi Earthquake. environments, 9, 22.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Valkaniotis, S., Papathanassiou, G., & Ganas, A. (2018). Mapping an earthquake-induced landslide based on UAV imagery; case study of the 2015 Okeanos landslide, Lefkada, Greece. Engineering Geology, 245, 141–152. doi: 10.1016/j.enggeo.2018.08.010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wang, F., Fan, X., Yunus, A.P. et al. Coseismic landslides triggered by the 2018 Hokkaido, Japan (Mw 6.6), earthquake: spatial distribution, controlling factors, and possible failure mechanism. Landslides 16, 1551–1566 (2019). https://doi.org/10.1007/s10346-019-01187-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wang, H.B., Sassa, K., Xu, W.Y., (2007). Analysis of a spatial distribution of landslides triggered by the 2004 Chuetsu earthquakes of Niigata Prefecture, Japan. Natural Hazards 41 (1), 43-60.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Xu, C. (2015). Preparation of earthquake-triggered landslide inventory maps using remote sensing and GIS technologies: Principles and case studies. Geoscience Frontiers, 6(6), 825-836.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Xu, C. (2013). Assessment of earthquake-triggered landslide susceptibility based on expert knowledge and information value methods: a case study of the 20 April 2013 Lushan, China Mw6. 6 earthquake. Disaster Advances, 6(13), 119-130.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Xu, C., Dai, F., Xu, X., & Lee, Y. H. (2012). GIS-based support vector machine modeling of earthquake-triggered landslide susceptibility in the Jianjiang River watershed, China. Geomorphology, 145, 70-80.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Xu, C., Shyu, J. B. H., & Xu, X. W. (2014). Landslides triggered by the 12 January 2010 Mw 7.0 Port-au-Prince, Haiti, earthquake: visual interpretation, inventory compiling and spatial distribution statistical analysis. Natural Hazards and Earth System Sciences & Discussions, 2(2), 1259-1331.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Xu, C., & Xu, X. (2014). Statistical analysis of landslides caused by the Mw 6.9 Yushu, China, earthquake of April 14, 2010. Natural Hazards, 72(2), 871-893.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Xu, C., Xu, X., Dai, F., & Saraf, A. K. (2012). Comparison of different models for susceptibility mapping of earthquake triggered landslides related with the 2008 Wenchuan earthquake in China. Computers & Geosciences, 46, 317-329.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Xu, C., Xu, X. W., & Yu, G. H. (2012). Earthquake triggered landslide hazard mapping and validation related with the 2010 Port-au-Prince, Haiti earthquake. Disaster Advances, 5(4), 1297-1304.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Xu, C. (2014, May). Inventory of landslides triggered by the 20 April 2013 Mw 6.6 Lushan earthquake of China. In EGU General Assembly Conference Abstracts (Vol. 16).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Xu, Y., Liu-Zeng, J., Allen, M.B. et al. (2020). Landslides of the 1920 Haiyuan earthquake, northern China. Landslides 18, 935–953 (2021). https://doi.org/10.1007/s10346-020-01512-5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yagi, H., Sato, G., Higaki, D., Yamamoto, M., & Yamasaki, T. (2009). Distribution and characteristics of landslides induced by the Iwate–Miyagi Nairiku Earthquake in 2008 in Tohoku District, Northeast Japan. Landslides, 6(4), 335.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yamagishi, H., & Yamazaki, F. (2018). Landslides by the 2018 Hokkaido Iburi-Tobu Earthquake on September 6. Landslides, 15(12), 2521-2524.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yin, Y., Wang, F., & Sun, P. (2009). Landslide hazards triggered by the 2008 Wenchuan earthquake, Sichuan, China. Landslides, 6(2), 139-152.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Web Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bangkok Post - 2012 Myanamr people missing http://www.bangkokpost.com/archive/myanmar-quake-death-toll-rises/321056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BBC 2008 Greece 0 landslide deaths http://news.bbc.co.uk/2/hi/europe/7442705.stm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BBC 2012 Afghan Quake LS deaths (important note in google doc) http://www.bbc.com/news/world-asia-18406216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BBC Ecuador 2014 fatalaity info - http://www.bbc.com/news/world-latin-america-28767140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNPB for West Sumatra Province (Indonesia's Agency for Disaster Management) www.bnpb.go.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBS News Hokkaido Japan Earthquake 2003 https://www.cbsnews.com/news/big-quake-little-damage-in-japan/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNN 2009 costa rica - http://edition.cnn.com/2009/WORLD/americas/01/10/crica.quake/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNN 2010 Mexico earthquake LS deaths http://www.cnn.com/2010/WORLD/americas/04/04/mexico.earthquake/index.html?hpt=T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNN Sicily LS deaths http://edition.cnn.com/2002/WORLD/europe/09/06/italy.quake/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daly City Earthquake Archive: http://ds.iris.edu/seismo-archives/quakes/1957dalycity/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Del Prete 1998 Umbria Italy LS deaths https://link.springer.com/content/pdf/10.1007/s100640050026.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DETIK News Indonesia Earthquake 2019 https://news.detik.com/foto-news/d-4723713/evakuasi-korban-tewas-gempa-ambon/1#share_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Downes - Cape Turnagain 1904 earthquake - http://www.nzsee.org.nz/db/Bulletin/Archive/39(4)0183.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Earthquake report (20140813 Ecuador) - http://earthquake-report.com/2014/08/12/moderate-earthquake-ecuador-on-august-12-2014/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Earhtquake Report Chile 2014 https://earthquake-report.com/2014/04/01/massive-earthquake-offshore-tarapaca-chile-on-april-1-2014/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EERI Report Guam Earthquake 1993 https://www.eeri.org/lfe/pdf/guam_1993_eeri_preliminary_report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EOS News. Nepal quake doesn't fit. EOS 1988;69(38):860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Evans et. Al 2009 Khait http://www.sciencedirect.com/science/article/pii/S0013795209002014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FDMA Japan 2008 Iwate LS deaths http://www.fdma.go.jp/data/010805251825409149.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forbes Greece Earthquake 2015 https://www.forbes.com/sites/trevornace/2015/11/24/lefkada-earthquake-destroys-pristine-greek-beach-before-after/#1e297efe3478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fox News 2012 China No Fatalitie Info http://www.foxnews.com/world/2012/06/29/magnitude-63-earthquake-hits-western-china.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fox News Benzilan LS deaths - http://www.foxnews.com/world/2013/08/31/at-least-1-reportedly-killed-after-earthquake-hits-china.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fox News Costa Rica Earthquake 2017 https://www.foxnews.com/world/strong-earthquake-rattles-costa-rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Geonet. nz - lake grassmere 2013 fatalities - http://info.geonet.org.nz/display/quake/M+6.6,+Lake+Grassmere,+16+August+2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geonet.nz Landslides on Raoul Island from Recent Earthquakes https://www.geonet.org.nz/news/1uyy4wifVDD05XK6ZC6wOo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geotimes Japan Hokkaido Earthquake 2003 http://www.geotimes.org/sept03/WebExtra092603japan.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gobierno de Chile. “Plan de reconstrucción. Terremoto y maremoto del 27 de febrero de 2010”. Agosto de 2010. http://www.elmostrador.cl/media/2010/12/Plan-de-Reconstrucci%C3%B3n-Agosto-2010.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gulf News 2012 Phillipines MIA http://gulfnews.com/news/asia/philippines/quake-39-s-death-toll-breaches-100-1.978698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hegben Lake 1959 - SEIS Utah http://www.seis.utah.edu/lqthreat/nehrp_htm/1959hebg/n1959he3.shtml ; Christophersen, Edmund (1962) [1960]. The Night the Mountain Fell:The Story of the Montana-Yellowstone Earthquake. Missoula, Montana: Lawton Printing Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hexun - 2014 China MIA http://news.hexun.com/2014-08-06/167290881.html?frommarket=sh-icity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,History Link Washington Earthquake 2001 https://historylink.org/File/3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://earthquake.usgs.gov/earthquakes/shakemap/sc/shake/Northridge/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"http://earthquake.usgs.gov/earthquakes/states/us_deaths.php, OES (1995) and Peek-Asa et al (1998) Fatal and hospitalized injuries resulting from the 1994 Northridge earthquake, Intl. J. Epedemiology, vol. 27, pp. 459-465).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://uk.reuters.com/article/idUKN09283823._CH_.2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.bousai.go.jp/4fukkyu_fukkou/hanshin_awaji/101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.eclac.cl/publicaciones/xml/5/40905/Terremoto_El_Salvador_1986.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"http://www.fdma.go.jp/bn/%E5%B9%B3%E6%88%9023%E5%B9%B4%EF%BC%882011%E5%B... (In Japanese, as of September 11, 2012: Eleven of the worst affected municipalities still report ""unknown number of injuries"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.fdma.go.jp/bn/??23??2011??????????????146??.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.fdma.go.jp/data/010604191452374961.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.mlit.go.jp/common/000139083.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.paho.org/spanish/ped/cap02_ELS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDB. (2010). Estimating the Direct Economic Damage of the Earthquake in Haiti.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jishin - 1984 Japan EQ http://www.jishin.go.jp/main/yosokuchizu/chubu/p20_nagano.htm#kakojishin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kim 1992 Madang PNG 1970 LS deaths ftp://ftp.ngdc.noaa.gov/hazards/publications/catalog_tsunamis_pacific_1969_1982.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KTLA News Ridgecrest Earthquake https://ktla.com/news/local-news/1st-fatality-in-ridgecrest-earthquake-may-be-man-found-dead-under-jeep-100-miles-from-epicenter-investigators/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Martin - http://www.johnmartin.com/earthquakes/eqpapers/00000073.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Millineux 1967 Puget sound LS deaths https://books.google.com/books?hl=en&lr=&id=Z1rwAAAAMAAJ&oi=fnd&pg=SL4-PA183&dq=1965+earthquake+seattle&ots=_w5l4YjfHR&sig=6dBnmO4YCpfMmJJAGHBTK-9pgE4#v=onepage&q=1965%20earthquake%20seattle&f=false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Monte Cristo Range Earthquake - May 15, 2020, 4:03 am PDT https://nbmg.unr.edu/Geohazards/Earthquakes/MonteCristoRangeEQ.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"National Fire Agency, Ministry of the Interior(Last updated at 2001 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NDRRMC October 29 and 31 Philippines Earthquakes https://reliefweb.int/sites/reliefweb.int/files/resources/Update_SitRep_no_30_re_Mag_6_6_and_6_5_Earthquakes_in_Tulunan_North_Cotabato_as_of_20_November_2019_6AM.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nelson Mail - Wilberforce NZ - https://www.pressreader.com/new-zealand/nelson-mail/20150107/281638188577241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NHK News Ridgecrest Earthquake 2019 https://web.archive.org/web/20190705063913/https://www3.nhk.or.jp/nhkworld/en/news/20190705_18/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
